department_id,department_name
1,Skulls
2,Storage & Holders
3,Torn Metal
4,Vinyl & Decals
5,Wall & Decorative Art
6,Wall Hangings
7,Wyoming Specific
8,Exterior Home & Address
9,Fireplace & Outdoors
10,Flags
11,Furniture & Accents
12,Hitch Accessories
13,"Holiday, Religious & Seasonal"
14,Artistic Images
15,Kitchen & Dining
16,Lighting & Electrical
17,Magnets
18,Patriotic
99,Miscellaneous
